Test for integer base:
2^0 = 1: mults1 = 0, mults2 = 0, mults3 = 0
0.5^29 = 1.86265e-009: mults1 = 29, mults2 = 28, mults3 = 7
0.5^30 = 9.31323e-010: mults1 = 30, mults2 = 29, mults3 = 7
0.5^31 = 4.65661e-010: mults1 = 31, mults2 = 30, mults3 = 8
0.5^32 = 2.32831e-010: mults1 = 32, mults2 = 31, mults3 = 5
0.5^33 = 1.16415e-010: mults1 = 33, mults2 = 32, mults3 = 6
0.5^34 = 5.82077e-011: mults1 = 34, mults2 = 33, mults3 = 6
0.5^35 = 2.91038e-011: mults1 = 35, mults2 = 34, mults3 = 7
0.5^36 = 1.45519e-011: mults1 = 36, mults2 = 35, mults3 = 6
0.5^37 = 7.27596e-012: mults1 = 37, mults2 = 36, mults3 = 7
0.5^38 = 3.63798e-012: mults1 = 38, mults2 = 37, mults3 = 7
0.5^39 = 1.81899e-012: mults1 = 39, mults2 = 38, mults3 = 8
0.5^40 = 9.09495e-013: mults1 = 40, mults2 = 39, mults3 = 6
0.5^41 = 4.54747e-013: mults1 = 41, mults2 = 40, mults3 = 7
0.5^42 = 2.27374e-013: mults1 = 42, mults2 = 41, mults3 = 7
0.5^43 = 1.13687e-013: mults1 = 43, mults2 = 42, mults3 = 8
0.5^44 = 5.68434e-014: mults1 = 44, mults2 = 43, mults3 = 7
0.5^45 = 2.84217e-014: mults1 = 45, mults2 = 44, mults3 = 8
0.5^46 = 1.42109e-014: mults1 = 46, mults2 = 45, mults3 = 8
0.5^47 = 7.10543e-015: mults1 = 47, mults2 = 46, mults3 = 9
0.5^48 = 3.55271e-015: mults1 = 48, mults2 = 47, mults3 = 6
0.5^49 = 1.77636e-015: mults1 = 49, mults2 = 48, mults3 = 7
0.5^50 = 8.88178e-016: mults1 = 50, mults2 = 49, mults3 = 7
0.5^51 = 4.44089e-016: mults1 = 51, mults2 = 50, mults3 = 8
0.5^52 = 2.22045e-016: mults1 = 52, mults2 = 51, mults3 = 7
0.5^53 = 1.11022e-016: mults1 = 53, mults2 = 52, mults3 = 8
0.5^54 = 5.55112e-017: mults1 = 54, mults2 = 53, mults3 = 8
0.5^55 = 2.77556e-017: mults1 = 55, mults2 = 54, mults3 = 9
0.5^56 = 1.38778e-017: mults1 = 56, mults2 = 55, mults3 = 7
0.5^57 = 6.93889e-018: mults1 = 57, mults2 = 56, mults3 = 8
0.5^58 = 3.46945e-018: mults1 = 58, mults2 = 57, mults3 = 8
0.5^59 = 1.73472e-018: mults1 = 59, mults2 = 58, mults3 = 9
0.5^60 = 8.67362e-019: mults1 = 60, mults2 = 59, mults3 = 8
0.5^61 = 4.33681e-019: mults1 = 61, mults2 = 60, mults3 = 9
0.5^62 = 2.1684e-019: mults1 = 62, mults2 = 61, mults3 = 9
0.5^63 = 1.0842e-019: mults1 = 63, mults2 = 62, mults3 = 10
0.5^64 = 5.42101e-020: mults1 = 64, mults2 = 63, mults3 = 6
